,School Name,Street,Suburb,State,Postcode,Postal Street,Postal Suburb,Postal State,Postal Postcode,Latitude,Longitude,Phone,Education Region,Broad Classification,Classification Group,Low Year,High Year,Total Students,BE Score,ICSEA,ATAR Rank,Median ATAR,% students with ATAR
175,LESMURDIE SENIOR HIGH SCHOOL,21 REID ROAD,LESMURDIE,WA,6076,21 REID ROAD,LESMURDIE,WA,6076,-32.01252075,116.0516431,08 9291 1200,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,1057,92,1032.0,71.0,78.95,35.48
176,LIVING WATERS LUTHERAN COLLEGE,176 CURRIE STREET,WARNBRO,WA,6169,176 CURRIE STREET,WARNBRO,WA,6169,-32.34307717,115.7544169,08 9593 1211,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,600,,,51.0,81.5,36.84
177,LUMEN CHRISTI COLLEGE,81 STATION STREET,MARTIN,WA,6110,81 STATION STREET,MARTIN,WA,6110,-32.06737479,116.0120135,08 9394 9300,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,977,88,1013.0,122.0,65.9,29.3
178,LUURNPA CATHOLIC SCHOOL,WIRRIMANU BALGO HILLS,VIA HALLS CREEK,WA,6770,WIRRIMANU BALGO HILLS,VIA HALLS CREEK,WA,6770,-20.142514,127.983031,08 9168 8902,KIMBERLEY,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y10,104,Not Rated,585.0,,,
179,LYNWOOD SENIOR HIGH SCHOOL,436 METCALFE ROAD,PARKWOOD,WA,6147,436 METCALFE ROAD,PARKWOOD,WA,6147,-32.04190909,115.9161296,08 9354 0600,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,1417,86,980.0,96.0,74.35,21.05
180,MANDURAH BAPTIST COLLEGE,CATALINA DRIVE,LAKELANDS,WA,6210,CATALINA DRIVE,LAKELANDS,WA,6210,-32.47830702,115.7601182,08 9583 7000,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,1223,,,109.0,70.65,52.07
181,MANDURAH CATHOLIC COLLEGE,79-97 COODANUP DRIVE,MANDURAH,WA,6210,79-97 COODANUP DRIVE,MANDURAH,WA,6210,-32.54895945,115.738286,08 9531 9500,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,1676,91,1040.0,32.0,84.5,41.71
182,MANEA SENIOR COLLEGE,ROBERTSON DRIVE,BUNBURY,WA,6230,PO BOX 500,BUNBURY,WA,6230,-33.36775659,115.6567975,08 9721 0400,SOUTH WEST,Senior Colleges,SECONDARY SCHOOLS,Y11,Y12,588,Not Rated,1022.0,81.0,77.05,26.95
183,MANJIMUP SENIOR HIGH SCHOOL,RUTHERFORD STREET,MANJIMUP,WA,6258,LOCKED BAG 1,MANJIMUP,WA,6258,-34.233842,116.133228,08 9771 3400,SOUTH WEST,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,608,84,977.0,64.0,80.05,28.0
184,MARGARET RIVER SENIOR HIGH SCHOOL,158 BUSSELL HIGHWAY,MARGARET RIVER,WA,6285,158 BUSSELL HIGHWAY,MARGARET RIVER,WA,6285,-33.95431827,115.0746714,08 9757 0700,SOUTH WEST,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,1100,90,1037.0,47.0,82.35,39.66
185,MATER DEI COLLEGE,107 TREETOP AVENUE,EDGEWATER,WA,6027,107 TREETOP AVENUE,EDGEWATER,WA,6027,-31.76466034,115.7765193,08 9405 4777,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,831,90,1055.0,104.0,72.45,39.53
186,MAZENOD COLLEGE,55 GLADYS ROAD,LESMURDIE,WA,6076,55 GLADYS ROAD,LESMURDIE,WA,6076,-32.006679,116.0388409,08 9291 6500,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,845,92,1067.0,25.0,85.25,50.0
187,MEEKATHARRA DISTRICT HIGH SCHOOL,SAVAGE STREET,MEEKATHARRA,WA,6642,SAVAGE STREET,MEEKATHARRA,WA,6642,-26.59116051,118.4913155,08 9981 0800,MIDWEST,District High Schools,DISTRICT HIGH SCHOOLS,KIN,Y12,95,Not Rated,702.0,,,
188,MELVILLE SENIOR HIGH SCHOOL,18 POTTS STREET,MELVILLE,WA,6156,18 POTTS STREET,MELVILLE,WA,6156,-32.04631125,115.8054613,08 6274 1300,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,1402,95,1065.0,61.0,80.35,46.7
189,MERCEDES COLLEGE,VICTORIA SQUARE,PERTH,WA,6000,VICTORIA SQUARE,PERTH,WA,6000,-31.95623304,115.8670832,08 9323 1323,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,838,96,1116.0,15.0,88.55,72.66
190,MERCY COLLEGE,CNR BEACH ROAD/MIRRABOOKA AVENUE,KOONDOOLA,WA,6064,CNR BEACH ROAD/MIRRABOOKA AVENUE,KOONDOOLA,WA,6064,-31.84725114,115.8575544,08 9247 9247,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,1620,90,1010.0,46.0,82.5,34.34
191,MERREDIN COLLEGE,WOOLGAR AVENUE,MERREDIN,WA,6415,WOOLGAR AVENUE,MERREDIN,WA,6415,-31.48808967,118.2849815,08 9041 7520,WHEATBELT,K-12 SCHOOLS,K-12 SCHOOLS,KIN,Y12,538,84,954.0,,,
192,METHODIST LADIES' COLLEGE,356 STIRLING HIGHWAY,CLAREMONT,WA,6010,356 STIRLING HIGHWAY,CLAREMONT,WA,6010,-31.98701169,115.7755403,08 9384 4000,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,1019,99,1150.0,5.0,90.55,88.89
193,MINDARIE SENIOR COLLEGE,14 ELLISTON PARADE,MINDARIE,WA,6030,PO BOX 2003,CLARKSON,WA,6030,-31.6769792,115.7060496,08 6207 5500,NORTH METROPOLITAN,Senior Colleges,SECONDARY SCHOOLS,Y11,Y12,780,Not Rated,1034.0,111.0,70.1,26.34
194,MORAWA DISTRICT HIGH SCHOOL,34 GILL STREET,MORAWA,WA,6623,PO BOX 13,MORAWA,WA,6623,-29.21120142,116.0059132,08 9971 2500,MIDWEST,District High Schools,DISTRICT HIGH SCHOOLS,KIN,Y12,174,75,907.0,,,
195,MORLEY SENIOR HIGH SCHOOL,19-43 BRAMWELL ROAD,NORANDA,WA,6062,19-43 BRAMWELL ROAD,NORANDA,WA,6062,-31.8737169,115.8836692,08 9376 5555,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,1058,88,1009.0,100.0,73.7,44.1
196,MOUNT BARKER COMMUNITY COLLEGE,WOOGENELLUP ROAD,MOUNT BARKER,WA,6324,PO BOX 116,MOUNT BARKER,WA,6324,-34.612767,117.665171,08 9851 5800,SOUTH WEST,K-12 SCHOOLS,K-12 SCHOOLS,KIN,Y12,700,78,942.0,,,
197,MOUNT LAWLEY SENIOR HIGH SCHOOL,65 WOODSOME STREET,MOUNT LAWLEY,WA,6050,65 WOODSOME STREET,MOUNT LAWLEY,WA,6050,-31.92122258,115.8697493,08 9265 1500,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,1896,97,1101.0,20.0,86.45,64.96
198,MOUNT MAGNET DISTRICT HIGH SCHOOL,LAURIE STREET,MOUNT MAGNET,WA,6638,PO BOX 60,MOUNT MAGNET,WA,6638,-28.05966342,117.8458664,08 9963 4081,MIDWEST,District High Schools,DISTRICT HIGH SCHOOLS,KIN,Y12,87,Not Rated,,,,
199,MUKINBUDIN DISTRICT HIGH SCHOOL,WHITE STREET,MUKINBUDIN,WA,6479,WHITE STREET,MUKINBUDIN,WA,6479,-30.916192,118.208956,08 9048 3400,WHEATBELT,District High Schools,DISTRICT HIGH SCHOOLS,KIN,Y12,96,74,964.0,,,
200,MULLEWA DISTRICT HIGH SCHOOL,JOSE STREET,MULLEWA,WA,6630,PO BOX 137,MULLEWA,WA,6630,-28.53708777,115.5128854,08 9961 1114,MIDWEST,District High Schools,DISTRICT HIGH SCHOOLS,KIN,Y12,80,Not Rated,674.0,,,
201,MUNDARING CHRISTIAN COLLEGE,1605 WALKER STREET,MUNDARING,WA,6073,1605 WALKER STREET,MUNDARING,WA,6073,-31.89869433,116.1802693,08 9295 2688,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,594,89,1061.0,,,
202,NAGLE CATHOLIC COLLEGE,SANFORD STREET,GERALDTON,WA,6530,SANFORD STREET,GERALDTON,WA,6530,-28.77776964,114.6099931,08 9920 0500,MIDWEST,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,1089,88,1018.0,81.0,77.05,41.22
203,NANNUP DISTRICT HIGH SCHOOL,BISHOP STREET,NANNUP,WA,6275,BISHOP STREET,NANNUP,WA,6275,-33.99015078,115.7655942,08 9756 1008,SOUTH WEST,District High Schools,DISTRICT HIGH SCHOOLS,KIN,Y10,143,82,1006.0,,,
204,NAREMBEEN DISTRICT HIGH SCHOOL,ADA STREET,NAREMBEEN,WA,6369,PO BOX 8,NAREMBEEN,WA,6369,-32.06303073,118.3912322,08 9064 7286,WHEATBELT,District High Schools,DISTRICT HIGH SCHOOLS,KIN,Y10,127,95,1006.0,,,
205,NARROGIN SENIOR HIGH SCHOOL,GRAY STREET,NARROGIN,WA,6312,PMB 2,NARROGIN,WA,6312,-32.93810289,117.1914239,08 9881 9300,WHEATBELT,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,652,82,968.0,124.0,65.45,36.67
206,NEWMAN COLLEGE,216 EMPIRE AVENUE,CHURCHLANDS,WA,6018,216 EMPIRE AVENUE,CHURCHLANDS,WA,6018,-31.9231958,115.7873551,08 9204 9444,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,1831,93,1114.0,44.0,82.7,65.5
207,NEWMAN SENIOR HIGH SCHOOL,GREGORY AVENUE,NEWMAN,WA,6753,PMB 6,NEWMAN,WA,6753,-23.36220252,119.7341359,08 9175 8100,PILBARA,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,322,77,926.0,,,
208,NEWTON MOORE SENIOR HIGH SCHOOL,19-35 HOTCHIN STREET,SOUTH BUNBURY,WA,6230,19-35 HOTCHIN STREET,SOUTH BUNBURY,WA,6230,-33.359211,115.6354214,08 9722 2400,SOUTH WEST,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,644,80,920.0,,,
209,NGALANGANGPUM SCHOOL,WARMUN COMMUNITY VIA GREAT NORTHERN HWY,KUNUNURRA,WA,6743,WARMUN COMMUNITY VIA GREAT NORTHERN HWY,KUNUNURRA,WA,6743,-17.029901,128.212134,08 9167 2501,KIMBERLEY,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y10,64,Not Rated,664.0,,,
210,NORSEMAN DISTRICT HIGH SCHOOL,GOODLIFFE STREET,NORSEMAN,WA,6443,PO BOX 141,NORSEMAN,WA,6443,-32.19186573,121.773247,08 9083 9000,GOLDFIELDS,District High Schools,DISTRICT HIGH SCHOOLS,KIN,Y11,64,73,826.0,,,
211,NORTH ALBANY SENIOR HIGH SCHOOL,47 ANSON ROAD,ALBANY,WA,6330,47 ANSON ROAD,ALBANY,WA,6330,-34.99074882,117.8668674,08 9892 0611,SOUTH WEST,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,833,84,970.0,110.0,70.15,49.38
212,NORTH LAKE SENIOR CAMPUS,188 WINTERFOLD ROAD,KARDINYA,WA,6163,188 WINTERFOLD ROAD,KARDINYA,WA,6163,-32.07350132,115.8137439,08 9314 0444,SOUTH METROPOLITAN,Senior Colleges,SECONDARY SCHOOLS,Y10,Y12,377,Not Rated,1026.0,,,
213,NORTHAM SENIOR HIGH SCHOOL,KENNEDY STREET,NORTHAM,WA,6401,PO BOX 255,NORTHAM,WA,6401,-31.64725593,116.6676491,08 9621 0000,WHEATBELT,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,664,76,924.0,123.0,65.65,22.77
214,NORTHAMPTON DISTRICT HIGH SCHOOL,30 HARVEY ROAD,NORTHAMPTON,WA,6535,PO BOX 13,NORTHAMPTON,WA,6535,-28.3556655,114.646082,08 9934 7000,MIDWEST,District High Schools,DISTRICT HIGH SCHOOLS,KIN,Y10,152,80,913.0,,,
215,NORTHCLIFFE DISTRICT HIGH SCHOOL,26 ZAMIA STREET,NORTHCLIFFE,WA,6262,26 ZAMIA STREET,NORTHCLIFFE,WA,6262,-34.63362225,116.1177689,08 9776 7055,SOUTH WEST,District High Schools,DISTRICT HIGH SCHOOLS,KIN,Y10,44,Not Rated,977.0,,,
216,OCEAN REEF SENIOR HIGH SCHOOL,21 VENTURI DRIVE,OCEAN REEF,WA,6027,21 VENTURI DRIVE,OCEAN REEF,WA,6027,-31.75879833,115.7389749,08 6206 2700,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,1234,89,1052.0,83.0,76.35,40.56
217,ONESCHOOL GLOBAL WA,8 WOODTHORPE DRIVE,WILLETTON,WA,6155,8 WOODTHORPE DRIVE,WILLETTON,WA,6155,-32.05654231,115.9017197,08 6250 2000,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y03,Y12,250,,,,,
218,OUR LADY OF MERCY COLLEGE,100 LEISURE DRIVE,AUSTRALIND,WA,6233,PO BOX 220,AUSTRALIND,WA,6233,-33.270941,115.740064,08 9720 3300,SOUTH WEST,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,583,,,27.0,85.2,46.3
219,PARNNGURR COMMUNITY SCHOOL,PARNNGURR ABORIGINAL COMMUNITY,VIA NEWMAN  PMB14,WA,6753,PARNNGURR ABORIGINAL COMMUNITY,VIA NEWMAN  PMB14,WA,6753,-22.817552,122.597546,08 9176 9003,PILBARA,NON-GOVT SCHOOLS,NON-GOVERNMENT,PPR,Y12,27,,,,,
220,PEMBERTON DISTRICT HIGH SCHOOL,BURMA ROAD,PEMBERTON,WA,6260,BURMA ROAD,PEMBERTON,WA,6260,-34.44748,116.04588,08 9776 5800,SOUTH WEST,District High Schools,DISTRICT HIGH SCHOOLS,KIN,Y10,140,78,990.0,,,
221,PENRHOS COLLEGE,6 MORRISON STREET,COMO,WA,6152,6 MORRISON STREET,COMO,WA,6152,-31.99743072,115.8725394,08 9368 9508,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,986,97,1051.0,4.0,90.65,85.93
222,PERTH COLLEGE,31 LAWLEY CRESCENT,MOUNT LAWLEY,WA,6050,31 LAWLEY CRESCENT,MOUNT LAWLEY,WA,6050,-31.93117853,115.8754809,08 9471 2100,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,1028,99,1153.0,9.0,89.4,89.92
223,PERTH INDIVIDUAL,150 BURSWOOD ROAD,BURSWOOD,WA,6100,150 BURSWOOD ROAD,BURSWOOD,WA,6100,-31.96552356,115.8978344,08 9362 3186,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y11,95,,,,,
224,PERTH MODERN SCHOOL,90 ROBERTS ROAD,SUBIACO,WA,6008,90 ROBERTS ROAD,SUBIACO,WA,6008,-31.94506602,115.8363958,08 9392 6855,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,1428,100,1239.0,1.0,97.55,100.0
225,PERTH WALDORF SCHOOL,14 GWILLIAM DRIVE,BIBRA LAKE,WA,6163,14 GWILLIAM DRIVE,BIBRA LAKE,WA,6163,-32.09219046,115.8176585,08 9417 3638,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,536,94,1105.0,,,
226,PETER CARNLEY ANGLICAN COMMUNITY SCHOOL,386 WELLARD ROAD,WELLARD,WA,6170,386 WELLARD ROAD,WELLARD,WA,6170,-32.25710348,115.8149145,08 9439 3499,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,990,93,1056.0,,,
227,PETER MOYES ANGLICAN COMMUNITY SCHOOL,ELLISTON PARADE,MINDARIE,WA,6030,ELLISTON PARADE,MINDARIE,WA,6030,-31.67541576,115.7075982,08 9304 5500,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,1347,91,1073.0,55.0,81.05,63.33
228,PINJARRA SENIOR HIGH SCHOOL,16 MCLARTY ROAD,PINJARRA,WA,6208,PO BOX 353,PINJARRA,WA,6208,-32.63343063,115.8726662,08 9531 7000,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,746,77,963.0,,,
229,PORT SCHOOL,62 WHEELER ROAD,HAMILTON HILL,WA,6163,62 WHEELER ROAD,HAMILTON HILL,WA,6163,-32.08300587,115.7782714,08 9335 6323,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y08,Y12,142,Not Rated,936.0,,,
230,PRENDIVILLE CATHOLIC COLLEGE,11 PRENDIVILLE DRIVE,OCEAN REEF,WA,6027,11 PRENDIVILLE DRIVE,OCEAN REEF,WA,6027,-31.75468355,115.7396844,08 9307 2000,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,1133,93,1077.0,60.0,80.45,53.46
231,PRESBYTERIAN LADIES COLLEGE,14 MCNEIL STREET,PEPPERMINT GROVE,WA,6011,14 MCNEIL STREET,PEPPERMINT GROVE,WA,6011,-31.993592,115.764906,08 9424 6444,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,1027,99,1111.0,11.0,89.2,88.99
232,PROVIDENCE CHRISTIAN COLLEGE,19 FURLEY ROAD,SOUTHERN RIVER,WA,6110,19 FURLEY ROAD,SOUTHERN RIVER,WA,6110,-32.09974606,115.9366941,08 9455 1607,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,838,94,1090.0,38.0,83.85,61.4
233,QUAIRADING DISTRICT HIGH SCHOOL,MCLENNAN STREET,QUAIRADING,WA,6383,MCLENNAN STREET,QUAIRADING,WA,6383,-32.0076234,117.3985906,08 9645 1208,WHEATBELT,District High Schools,DISTRICT HIGH SCHOOLS,KIN,Y10,114,Not Rated,881.0,,,
234,QUINNS BAPTIST COLLEGE,8 SALERNO DRIVE,MINDARIE,WA,6030,8 SALERNO DRIVE,MINDARIE,WA,6030,-31.67618587,115.7101964,08 9305 8808,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,1183,91,1062.0,118.0,66.9,34.07
235,RAVENSTHORPE DISTRICT HIGH SCHOOL,MORGANS STREET,RAVENSTHORPE,WA,6346,LOCKED BAG 555,RAVENSTHORPE,WA,6346,-33.58198044,120.0519004,08 9852 3000,GOLDFIELDS,District High Schools,DISTRICT HIGH SCHOOLS,KIN,Y12,110,77,970.0,,,
236,RAWA COMMUNITY SCHOOL ABORIGINAL CORPORATION,LAKE DORA (PUNMU COMMUNITY),GREAT SANDY DESERT,WA,6753,LAKE DORA (PUNMU COMMUNITY),GREAT SANDY DESERT,WA,6753,-22.044005,123.120655,08 9176 9022,PILBARA,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,48,,,,,
237,REHOBOTH CHRISTIAN COLLEGE,94 KENWICK ROAD,KENWICK,WA,6107,94 KENWICK ROAD,KENWICK,WA,6107,-32.03161911,115.977924,08 9452 1833,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,803,98,1114.0,,,
238,ROCKINGHAM MONTESSORI SCHOOL,7 ATTWOOD WAY,ROCKINGHAM,WA,6168,7 ATTWOOD WAY,ROCKINGHAM,WA,6168,-32.27658489,115.736737,08 9528 2118,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,275,81,1061.0,,,
239,ROCKINGHAM SENIOR HIGH SCHOOL,15 READ STREET,ROCKINGHAM,WA,6168,PO BOX 786,ROCKINGHAM,WA,6968,-32.28495172,115.7355203,08 9527 0300,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,965,,,,,
240,ROEBOURNE DISTRICT HIGH SCHOOL,FRASER STREET,ROEBOURNE,WA,6718,PO BOX 186,ROEBOURNE,WA,6718,-20.76855012,117.14215,08 9182 3300,PILBARA,District High Schools,DISTRICT HIGH SCHOOLS,KIN,Y12,135,72,597.0,,,
241,ROLEYSTONE COMMUNITY COLLEGE,90 RAEBURN ROAD,ROLEYSTONE,WA,6111,90 RAEBURN ROAD,ROLEYSTONE,WA,6111,-32.10331975,116.0846169,08 9391 6222,SOUTH METROPOLITAN,District High Schools,DISTRICT HIGH SCHOOLS,KIN,Y10,842,86,1039.0,,,
242,ROSSMOYNE SENIOR HIGH SCHOOL,1 KEITH ROAD,ROSSMOYNE,WA,6148,1 KEITH ROAD,ROSSMOYNE,WA,6148,-32.04626472,115.8705457,08 9235 1600,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,2311,100,1121.0,16.0,88.4,74.46
243,SACRED HEART COLLEGE,15 HOCKING PARADE,SORRENTO,WA,6020,15 HOCKING PARADE,SORRENTO,WA,6020,-31.82737166,115.74657,08 9246 8200,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,1425,95,1109.0,19.0,87.6,64.19
244,SAFETY BAY SENIOR HIGH SCHOOL,80 MALIBU ROAD,SAFETY BAY,WA,6169,PO BOX 6122,WAIKIKI,WA,6169,-32.30328609,115.7409641,08 9527 0200,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,1153,,,136.0,58.75,20.0
245,SANTA MARIA COLLEGE,STONEHAM ROAD,ATTADALE,WA,6156,STONEHAM ROAD,ATTADALE,WA,6156,-32.018614,115.795823,08 6330 0200,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y05,Y12,1297,97,1117.0,10.0,89.35,68.18
246,SCHOOL OF ISOLATED AND DISTANCE EDUCATION,164-194 OXFORD STREET,LEEDERVILLE,WA,6007,PO BOX 455,LEEDERVILLE,WA,6903,-31.93553952,115.8419534,08 9311 1400,NORTH METROPOLITAN,Distance Education,K-12 SCHOOLS,KIN,Y12,404,,,,,
247,SCOTCH COLLEGE,76 SHENTON ROAD,SWANBOURNE,WA,6010,76 SHENTON ROAD,SWANBOURNE,WA,6010,-31.98113329,115.7731945,08 9383 6800,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,1418,97,1165.0,24.0,85.35,74.29
248,SERVITE COLLEGE,134 CAPE STREET,TUART HILL,WA,6060,134 CAPE STREET,TUART HILL,WA,6060,-31.90270449,115.8336415,08 9444 6333,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,1009,89,1032.0,65.0,80.0,44.08
249,SETON CATHOLIC COLLEGE,MARCHANT ROAD,SAMSON,WA,6163,MARCHANT ROAD,SAMSON,WA,6163,-32.07269529,115.7933707,08 9331 9600,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,993,89,1038.0,91.0,75.35,39.22
250,SEVENOAKS SENIOR COLLEGE,275 SEVENOAKS STREET,CANNINGTON,WA,6107,275 SEVENOAKS STREET,CANNINGTON,WA,6107,-32.01247925,115.9423052,08 6235 7200,SOUTH METROPOLITAN,Senior Colleges,SECONDARY SCHOOLS,Y11,Y12,445,Not Rated,976.0,114.0,68.95,23.75
251,SHENTON COLLEGE,227 STUBBS TERRACE,SHENTON PARK,WA,6008,227 STUBBS TERRACE,SHENTON PARK,WA,6008,-31.95969986,115.803008,08 9366 9100,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,2404,99,1159.0,14.0,88.6,71.72
252,SOUTH COAST BAPTIST COLLEGE,30 GNANGARA DRIVE,WAIKIKI,WA,6169,30 GNANGARA DRIVE,WAIKIKI,WA,6169,-32.31535966,115.7575046,08 9540 4400,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,1009,,,,,
253,SOUTH METROPOLITAN YOUTH LINK COMMUNITY COLLEGE,32 TESLA ROAD,ROCKINGHAM,WA,6168,32 TESLA ROAD,ROCKINGHAM,WA,6168,-32.27298182,115.7542075,08 9550 9400,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y08,Y12,524,,,,,
254,SOUTH WEST JOHN CALVIN CHRISTIAN COLLEGE,2 WIDDESON ROAD,CAPEL,WA,6271,2 WIDDESON ROAD,CAPEL,WA,6271,-33.54326,115.565416,08 9726 2038,SOUTH WEST,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y10,92,,,,,
255,SOUTHERN CROSS DISTRICT HIGH SCHOOL,ANTARES STREET,SOUTHERN CROSS,WA,6426,ANTARES STREET,SOUTHERN CROSS,WA,6426,-31.23119646,119.3268575,08 9048 9000,WHEATBELT,District High Schools,DISTRICT HIGH SCHOOLS,KIN,Y10,56,Not Rated,930.0,,,
256,SOUTHERN HILLS CHRISTIAN COLLEGE,86 ADMIRAL ROAD,BEDFORDALE,WA,6112,86 ADMIRAL ROAD,BEDFORDALE,WA,6112,-32.1816559,116.0483177,08 9497 1751,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,338,87,1038.0,,,
257,SOUTHERN RIVER COLLEGE,SOUTHERN RIVER ROAD,GOSNELLS,WA,6110,SOUTHERN RIVER ROAD,GOSNELLS,WA,6110,-32.08559751,115.979918,08 9495 3200,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,937,75,937.0,121.0,66.0,20.35
258,SOWILO COMMUNITY HIGH SCHOOL,UNIT 1/2 GILLAM DRIVE,KELMSCOTT,WA,6111,UNIT 1/2 GILLAM DRIVE,KELMSCOTT,WA,6111,-32.13104805,116.0098146,08 9390 1995,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,89,73,955.0,,,
259,ST ANDREW'S GRAMMAR,2 HELLENIC DRIVE,DIANELLA,WA,6059,2 HELLENIC DRIVE,DIANELLA,WA,6059,-31.87118268,115.8741054,08 9376 5850,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,475,97,1078.0,,,
260,ST BRIGID'S COLLEGE,200 LESMURDIE ROAD,LESMURDIE,WA,6076,200 LESMURDIE ROAD,LESMURDIE,WA,6076,-31.99663035,116.0520664,08 9290 4200,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,905,92,1048.0,99.0,73.85,59.22
261,ST CLARE'S SCHOOL,14-16 MCCARTNEY CRESCENT,LATHLAIN,WA,6100,14-16 MCCARTNEY CRESCENT,LATHLAIN,WA,6100,-31.9711354,115.9086158,08 9366 7500,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y08,Y12,40,Not Rated,960.0,,,
